Epoch 1/5
Step 300: 0.07515081018209457
Step 600: 0.060740403831005096
Step 900: 0.07526867836713791
Step 1200: 0.1029946357011795
Step 1500: 0.11389913409948349
Step 1800: 0.05596385896205902
Step 2100: 0.09564931690692902
Step 2400: 0.07135201245546341
Step 2700: 0.13769453763961792
Step 3000: 0.12266219407320023
Step 3300: 0.0865917056798935
Step 3600: 0.0817975252866745
Step 3900: 0.1203366219997406
Step 4200: 0.08554623275995255
Step 4500: 0.049609653651714325
Step 4800: 0.09039974212646484
Epoch 5/5
Step 300: 0.06839168071746826
Step 600: 0.08577099442481995
Step 900: 0.029732828959822655
Step 1200: 0.052187345921993256
Step 1500: 0.07314154505729675
Step 1800: 0.08077310025691986
Step 2100: 0.044832438230514526
Step 2400: 0.11137091368436813
Step 2700: 0.1398376077413559
Step 3000: 0.0786040872335434
Step 3300: 0.06019052118062973
Step 3600: 0.022996312007308006
Step 3900: 0.060455575585365295
Step 4200: 0.03556869924068451
Step 4500: 0.09780303388834
Step 4800: 0.11997797340154648
Epoch 1/5
Step 300: 0.35349616408348083
Step 600: 0.27616721391677856
Step 900: 0.24949099123477936
Step 1200: 0.25695157051086426
Step 1500: 0.20482690632343292
Step 1800: 0.19781000912189484
Step 2100: 0.1658017486333847
Step 2400: 0.1566612869501114
Epoch 2/5
Step 300: 0.19646058976650238
Step 600: 0.21017637848854065
Step 900: 0.22487594187259674
Step 1200: 0.2057623267173767
Step 1500: 0.18948820233345032
Step 1800: 0.2033945471048355
Step 2100: 0.19039222598075867
Step 2400: 0.16851775348186493
Epoch 3/5
Step 300: 0.16262665390968323
Step 600: 0.1741587519645691
Step 900: 0.19344276189804077
Step 1200: 0.1357632875442505
Step 1500: 0.20384617149829865
Step 1800: 0.12433956563472748
Step 2100: 0.1544758528470993
Step 2400: 0.13625852763652802
Epoch 4/5
Step 300: 0.12644782662391663
Step 600: 0.13271844387054443
Step 900: 0.09199153631925583
Step 1200: 0.10558497160673141
Step 1500: 0.1691029965877533
Step 1800: 0.14846524596214294
Step 2100: 0.13736426830291748
Step 2400: 0.18224389851093292
Epoch 5/5
Step 300: 0.19122791290283203
Step 600: 0.12845280766487122
Step 900: 0.07345965504646301
Step 1200: 0.1508374810218811
Step 1500: 0.13511666655540466
Step 1800: 0.13522425293922424
Step 2100: 0.10122738778591156
Step 2400: 0.15004542469978333
